Nome: BENTO GONCALVES;;;;;;
Codigo Estacao: A840;;;;;;
Latitude: -29.164581;;;;;;
Longitude: -51.534202;;;;;;
Altitude: 623.27;;;;;;
Situacao: Operante;;;;;;
Data Inicial: 2010-01-01;;;;;;
Data Final: 2024-12-31;;;;;;
Periodicidade da Medicao: Mensal;;;;;;
;;;;;;
Data Medicao;NUMERO DE DIAS COM PRECIP. PLUV, MENSAL (AUT)(número);PRECIPITACAO TOTAL, MENSAL (AUT)(mm);PRESSAO ATMOSFERICA, MEDIA MENSAL (AUT)(mB);TEMPERATURA MEDIA, MENSAL (AUT)(°C);VENTO, VELOCIDADE MAXIMA MENSAL (AUT)(m/s);VENTO, VELOCIDADE MEDIA MENSAL (AUT)(m/s)
31/01/2010;18;278,4;941,5;21,9;7;2,5
28/02/2010;14;161,4;942,1;23;9,7;2,8
31/03/2010;19;58,4;942,6;20,7;7;2,2
30/04/2010;14;136,4;946,2;17,6;8,5;2,4
31/05/2010;21;158,6;946;14,3;6,8;2,2
30/06/2010;12;128,2;947,8;13,1;8,3;2,8
31/07/2010;15;205,6;947,7;13;10,7;3,2
31/08/2010;9;50,6;947,9;13,3;8,9;3,2
30/09/2010;13;225,4;944,6;15,5;11,7;3,1
31/10/2010;11;50,8;943,8;16;7,8;2,4
30/11/2010;12;88,4;940,9;18,4;10,2;2,5
31/12/2010;11;89,6;939,5;20,9;8,3;2,8
31/01/2011;20;164,8;939,8;22,8;6,9;2,4
28/02/2011;22;221,6;941,9;21,6;6,3;2,4
31/03/2011;12;264,6;943,8;20;6,6;2,9
30/04/2011;16;147,8;944,4;17,8;8,1;2,3
31/05/2011;11;70;947,1;14,3;7,6;2,5
30/06/2011;16;178,6;945,5;11,6;7,8;2,7
31/07/2011;17;324,2;946,1;12,1;7,5;2,6
31/08/2011;16;null;945,5;13,3;11;3,3
30/09/2011;9;57,8;947,3;15;8,6;3,1
31/10/2011;12;100,2;942,5;17,5;10,4;2,8
30/11/2011;6;17,4;943;19,4;7,1;2,9
31/12/2011;14;69;940,8;20;6,4;2,8
31/01/2012;9;64,4;941,7;21,7;7;2,9
29/02/2012;13;173,2;941,8;23,3;7,6;2,6
31/03/2012;7;85,6;943,9;20,5;6,8;2,6
30/04/2012;11;74,2;944;17,3;7;2,3
31/05/2012;3;25,2;947,5;16,2;6,3;2,5
30/06/2012;10;53,6;946,3;13,1;6,9;2,3
31/07/2012;11;181,8;946,7;11,7;7,5;2,7
31/08/2012;8;66,4;949;17,3;10,5;3,6
30/09/2012;7;220;946,3;16;10,2;3,4
31/10/2012;15;155,4;942,5;18,8;10,4;3,2
30/11/2012;7;26;942,4;20,5;8,3;3
31/12/2012;13;217,2;940;22,9;9,4;2,8
31/01/2013;9;104,4;943,1;20,9;7,1;2,8
28/02/2013;15;105,8;942,1;21,2;8;2,5
31/03/2013;15;186,4;944,1;18,4;8,6;2,6
30/04/2013;8;106,8;945,4;17,7;7,3;2,4
31/05/2013;15;127,6;945,3;14,7;7,9;2,4
30/06/2013;25;141,6;945,9;13,1;8,1;2,5
31/07/2013;11;96,4;948,2;12,1;8;2,6
31/08/2013;16;303,8;947,2;12;6,6;3
30/09/2013;15;182,8;945,6;15,5;7,6;2,9
31/10/2013;13;121,6;944,5;16,9;9,1;2,9
30/11/2013;10;242,8;942,3;20;10,3;3,4
31/12/2013;10;133,6;940,5;22,2;7,3;2,7
31/01/2014;13;78,2;942,8;23,5;8,6;2,7
28/02/2014;15;206,2;943,2;23;10,4;2,8
31/03/2014;16;187,2;943,5;20,1;7,1;2,6
30/04/2014;8;127,8;945,9;18,1;8,9;2,9
31/05/2014;21;145,6;946;14,4;9,1;2,4
30/06/2014;20;242,8;945,8;13,2;8,9;3
31/07/2014;12;135,6;949,1;13,6;9,1;3,2
31/08/2014;14;113,6;947,2;14,9;8,1;3
30/09/2014;17;206,2;944,2;16,7;8,8;3,3
31/10/2014;12;174;944,9;18,9;10,6;3,3
30/11/2014;12;114,2;942,6;20,4;7,3;2,9
31/12/2014;15;292,4;941,9;21,3;8,7;2,9
31/01/2015;20;137;943,5;22,3;9,1;2,6
28/02/2015;14;130,4;942,8;21,6;7;2,6
31/03/2015;7;55,6;944,1;20,9;7,1;2,6
30/04/2015;11;136,6;945,8;18,3;7,4;2,4
31/05/2015;12;115;946,9;15,7;9,5;2,8
30/06/2015;10;203;948,4;13,6;6,7;2,8
31/07/2015;10;null;null;null;7,9;null
31/08/2015;null;null;null;null;null;null
30/09/2015;null;null;null;null;null;null
31/10/2015;16;null;943,2;17,1;10;2,9
30/11/2015;17;144,8;941,3;18,6;8,8;2,9
31/12/2015;15;168,4;941,1;21,2;9,8;2,8
31/01/2016;10;null;941,6;22,8;8,1;2,8
29/02/2016;10;null;942,3;22,7;6,1;2,6
31/03/2016;17;243,4;944,3;19,6;7,5;2,8
30/04/2016;14;259,6;943,8;19,9;6,9;2,8
31/05/2016;10;60;947,2;12,5;7,4;2,3
30/06/2016;7;6,8;949,2;9,9;7,8;2,1
31/07/2016;13;192,4;946,3;12,8;8,4;3
31/08/2016;10;110,2;945,6;14,5;7,5;2,9
30/09/2016;8;85;946,3;14,2;8,2;2,9
31/10/2016;12;367;943,1;17,1;8,5;3,4
30/11/2016;10;104,4;942,8;18,6;8,1;2,8
31/12/2016;13;78,8;941,1;21,6;7,4;2,9
31/01/2017;19;137,6;942,1;22,2;7,8;2,7
28/02/2017;11;null;942;22,9;6,7;2,6
31/03/2017;13;250;944,1;20,3;7,3;2,8
30/04/2017;12;157,2;945,2;17,4;7,9;2,9
31/05/2017;19;310,4;945,2;16;8,4;3
30/06/2017;14;154,6;946,6;13,9;8;3
31/07/2017;4;29,2;951,3;14,5;7,6;3,3
31/08/2017;10;114;945,6;15,5;9,2;3,3
30/09/2017;8;null;946,3;19;7,1;3
31/10/2017;15;184,2;942;17,7;10,3;3,2
30/11/2017;12;162,4;941,4;18,1;7,7;2,9
31/12/2017;11;95,4;940,7;21,7;7,6;2,8
31/01/2018;15;146,6;941,4;21,4;7,1;2,8
28/02/2018;9;85;942,5;21;6,7;2,8
31/03/2018;15;82,4;941,8;20,4;7,9;2,4
30/04/2018;9;82,2;946,2;20,3;5,8;2,5
31/05/2018;11;118,6;946,7;15,5;7;2,7
30/06/2018;16;179,4;947;11,7;8,9;2,4
31/07/2018;17;163;946,9;13,1;7,2;2,9
31/08/2018;13;177;947,4;12;7,8;2,9
30/09/2018;13;221,4;943,8;17;8,2;3
31/10/2018;14;221;943,3;17,2;7,5;3,1
30/11/2018;11;186,2;942,4;20,1;8;3
31/12/2018;13;139,6;942,3;21,2;9,3;2,6
31/01/2019;15;131,4;943;23,5;7,8;2,8
28/02/2019;13;72,8;942,5;21,1;8,5;2,6
31/03/2019;11;82,6;944,7;19,8;6,3;2,6
30/04/2019;15;161;943,9;18,9;8;2,3
31/05/2019;7;null;null;null;null;null
30/06/2019;9;35,8;947,2;16,2;9,2;3,1
31/07/2019;12;77,4;947,4;12,2;7,6;2,8
31/08/2019;8;90,8;949,3;13,5;7,9;3,2
30/09/2019;12;79;945,4;15,4;8,5;3
31/10/2019;17;258,4;943,7;18,5;9,4;3
30/11/2019;16;157,6;942;19,9;6,8;2,9
31/12/2019;7;33,4;941,4;22,3;6,8;2,9
31/01/2020;15;148,8;941,2;22,1;6,4;2,7
29/02/2020;8;68,4;943,3;21,5;6,9;2,9
31/03/2020;6;33;944,5;22,1;6,5;2,9
30/04/2020;2;null;946,4;18,5;6,5;2,9
31/05/2020;11;134,6;945,6;14,8;8,1;2,8
30/06/2020;13;198,2;945;14,8;8;3,4
31/07/2020;18;360,6;945,8;11,3;8,2;3
31/08/2020;7;111,8;947;14,7;8,1;2,8
30/09/2020;17;134,4;944,9;16,2;8;2,8
31/10/2020;7;50;943,2;18,1;7,5;2,9
30/11/2020;7;39;943,6;19,3;8,3;2,9
31/12/2020;16;125;941,4;21,1;7,5;2,9
31/01/2021;17;180,8;941,5;21,9;7,7;2,9
28/02/2021;10;109,8;941,9;20,9;8;2,5
31/03/2021;18;148,6;942,6;20,5;6,7;2,2
30/04/2021;6;6,8;946,3;18,3;6,3;2,7
31/05/2021;17;198;945,9;13,1;8,9;2,6
30/06/2021;14;167,2;947,1;12,1;9,7;2,7
31/07/2021;8;35,4;948,6;12,2;6,6;2,9
31/08/2021;12;117,2;947,4;15,2;7,6;3
30/09/2021;13;157,4;944,3;16,4;8,3;2,8
31/10/2021;14;105,8;943,8;17,2;8,8;3
30/11/2021;9;40,2;941,6;19,6;7,7;2,9
31/12/2021;5;31,2;941,4;21,5;5,7;2,9
31/01/2022;11;81,6;941,1;23,9;11,2;3,1
28/02/2022;10;100,2;941,7;22,4;6,2;2,6
31/03/2022;21;177,8;942,9;19,9;6,7;2,7
30/04/2022;12;154;944,4;17,3;6,7;2,7
31/05/2022;22;295;945,5;12,8;7,1;2,5
30/06/2022;18;203;946;11;6,7;2,5
31/07/2022;12;147,8;944,9;15,7;9,5;3,2
31/08/2022;16;105,4;947,2;13,3;8,5;3
30/09/2022;19;55,6;945,9;13,9;7,7;3
31/10/2022;19;98;943,3;16,4;7,5;2,7
30/11/2022;7;78,2;944,9;18,2;6,8;2,9
31/12/2022;13;137,6;940,8;21,6;6,6;2,7
31/01/2023;13;86,8;941,5;23,2;6,4;2,8
28/02/2023;14;138,4;942;21,5;8,2;2,5
31/03/2023;14;89,4;943,5;22,3;5,8;2,7
30/04/2023;13;62,2;944,3;17,5;6,3;2,5
31/05/2023;10;null;null;15,8;6,1;null
30/06/2023;7;null;947,5;14,1;7,3;2,7
31/07/2023;7;163,8;947,2;13,5;8,2;null
31/08/2023;9;65,8;944,9;15,4;9,3;3
30/09/2023;19;427;942,8;17;9,3;3,3
31/10/2023;15;232;942,2;16,8;8,8;2,8
30/11/2023;17;275,8;940,9;19,5;9,1;2,9
31/12/2023;18;125,6;941,9;22;6,4;2,7
31/01/2024;18;180,8;942,5;21,3;7,4;2,7
29/02/2024;14;149,2;943,4;23,2;6,6;2,7
31/03/2024;15;72,6;943,6;21,7;6,7;2,5
30/04/2024;19;330,2;943,6;19,5;8,7;2,7
31/05/2024;25;763;944,4;14,4;8,7;2,6
30/06/2024;14;343;945,2;15,7;7,3;3,1
31/07/2024;16;74,2;949,7;12,2;7,4;2,5
31/08/2024;11;77,4;946,8;14,5;7,3;2,7
30/09/2024;11;121,8;943,8;17,9;8,5;3
31/10/2024;10;47,8;943,6;18,4;7,6;3,1
30/11/2024;12;49,8;942,1;20,8;7,1;2,9
31/12/2024;16;147;940,8;19,5;7;2,8
